Tag,Type,Address,Description,UsedInStep
Start_Button,Input,I0.0,Start push-button to begin filling sequence,Robot-Assisted Filling Start
Microbe_Sensor_1,Input,I0.2,Air microbe detector sensor 1,Sterile Environment Monitoring
Microbe_Sensor_2,Input,I0.3,Air microbe detector sensor 2,Sterile Environment Monitoring
Microbe_Sensor_3,Input,I0.4,Air microbe detector sensor 3,Sterile Environment Monitoring
Microbe_Sensor_4,Input,I0.5,Air microbe detector sensor 4,Sterile Environment Monitoring
Microbe_Sensor_5,Input,I0.6,Air microbe detector sensor 5,Sterile Environment Monitoring
Microbe_Sensor_6,Input,I0.7,Air microbe detector sensor 6,Sterile Environment Monitoring
Microbe_Sensor_7,Input,I0.8,Air microbe detector sensor 7,Sterile Environment Monitoring
Microbe_Sensor_8,Input,I0.9,Air microbe detector sensor 8,Sterile Environment Monitoring
Microbe_Sensor_9,Input,I0.10,Air microbe detector sensor 9,Sterile Environment Monitoring
Microbe_Sensor_10,Input,I0.11,Air microbe detector sensor 10,Sterile Environment Monitoring
Temp_OK_Switch,Input,I0.20,Temperature OK switch (1 when within allowed range),Sterile Environment Monitoring
Humidity_OK_Switch,Input,I0.21,Humidity OK switch (1 when within allowed range),Sterile Environment Monitoring
Force_Sensor_Cap,Input,I0.1,Force switch measuring cap tightening force,Capping & Sealing Station
Camera_Pass,Input,I0.30,Camera image OK (1 = match to ideal image),Leakage Test
Vial_Present_Sensor,Input,I0.31,Vial presence on conveyor sensor,Filling/Capping/Sealing positions
Emergency_Stop,Input,I0.99,Global emergency stop switch,All
HVAC_Coil,Output,Q0.0,HVAC high-pressure coil for purge (ON for 10 min),Sterile Environment Purge
Pumps,Output,Q0.2,Line pressure pumps (start during purge),Line Purge / Pressure Build
Conveyor_Motor,Output,Q0.1,Main conveyor motor,Conveyor Movement
Water_Sprinklers_Wash,Output,Q0.4,High-pressure water sprinklers for wash,Vial Washing
Robot_Loader,Output,Q0.3,Robot actuator to load bulk vaccine into dosing chamber,Robot-Assisted Loading
Filler_Valves_Bank,Output,Q0.5,20 valve bank for parallel filling (one coil triggers group),Filling Station
Vacuum_Gripper,Output,Q0.6,Vacuum gripper to pick caps from dispenser,Capping Station
Cap_Tighten_Actuator,Output,Q0.7,Actuator that applies load for cap tightening,Sealing Station
Reject_Actuator,Output,Q0.8,Actuator that pushes failed vial off conveyor,Leakage Test -> Reject
Air_Blower,Output,Q0.9,Air blowers for drying after washing,Drying Station
Label_Applicator,Output,Q0.10,Labeler actuator,Labeling Station
Batch_Counter,Internal,CT0,Batch counter for 20 vials,Counting/Batching
Daily_Counter,Internal,CT1,Production daily counter up to 50,000,Production Counting
